ID,eBay_Item_ID,Printify_Product_ID,Result,Note
Acrylic-Grimdark-0007,406903731967,69f839eaf9374ed4f105a092,READY,selected_unique_urls=4
Acrylic-Grimdark-0006,406903252506,69f83957ffbc831dea082e1a,READY,selected_unique_urls=4
Acrylic-Grimdark-0011,406903760725,69f863f9f9374ed4f105c588,READY,selected_unique_urls=4
