ID,Asset,File,Width,Height,Sharpness,Status
Sticker-Academia-0010,U4,Sticker-Academia-0010_U4_Grid.png,1024,1024,3699.45,ok
Sticker-Academia-0011,Cover,Cover_Mockup.png,1800,1800,2164.36,ok
Sticker-Academia-0011,Production,Production_Design.png,1664,1664,2437.43,ok
Sticker-Academia-0011,U1,Sticker-Academia-0011_U1_Grid.png,1024,1024,2842.54,ok
Sticker-Academia-0011,U2,Sticker-Academia-0011_U2_Grid.png,1024,1024,1884.93,ok
Sticker-Academia-0011,U3,Sticker-Academia-0011_U3_Grid.png,1024,1024,2958.18,ok
Sticker-Academia-0011,U4,Sticker-Academia-0011_U4_Grid.png,1024,1024,1850.19,ok
Sticker-Academia-0013,Cover,Cover_Mockup.png,1800,1800,146.18,ok
Sticker-Academia-0013,Production,Production_Design.png,1664,1664,163.32,ok
Sticker-Academia-0013,U1,Sticker-Academia-0013_U1_Grid.png,256,256,1023.48,low_resolution
Sticker-Academia-0013,U2,Sticker-Academia-0013_U2_Grid.png,256,256,1039.98,low_resolution
Sticker-Academia-0013,U3,Sticker-Academia-0013_U3_Grid.png,256,256,1020.39,low_resolution
Sticker-Academia-0013,U4,Sticker-Academia-0013_U4_Grid.png,256,256,1046.96,low_resolution
Sticker-Academia-0014,Cover,Cover_Mockup.png,1800,1800,1938.95,ok
Sticker-Academia-0014,Production,Production_Design.png,1664,1664,2131.75,ok
Sticker-Academia-0014,U1,Sticker-Academia-0014_U1_Grid.png,1024,1024,2119.64,ok
Sticker-Academia-0014,U2,Sticker-Academia-0014_U2_Grid.png,1024,1024,2164.28,ok
Sticker-Academia-0014,U3,Sticker-Academia-0014_U3_Grid.png,1024,1024,1977.3,ok
Sticker-Academia-0014,U4,Sticker-Academia-0014_U4_Grid.png,1024,1024,2517.93,ok
Sticker-Academia-0015,Cover,Cover_Mockup.png,1800,1800,2043.0,ok
Sticker-Academia-0015,Production,Production_Design.png,1664,1664,2269.03,ok
Sticker-Academia-0015,U1,Sticker-Academia-0015_U1_Grid.png,1024,1024,2338.25,ok
Sticker-Academia-0015,U2,Sticker-Academia-0015_U2_Grid.png,1024,1024,2420.31,ok
Sticker-Academia-0015,U3,Sticker-Academia-0015_U3_Grid.png,1024,1024,1884.18,ok
Sticker-Academia-0015,U4,Sticker-Academia-0015_U4_Grid.png,1024,1024,2458.83,ok
Sticker-Academia-0016,Cover,Cover_Mockup.png,1800,1800,1520.92,ok
Sticker-Academia-0016,Production,Production_Design.png,1664,1664,1678.85,ok
Sticker-Academia-0016,U1,Sticker-Academia-0016_U1_Grid.png,1024,1024,1765.13,ok
Sticker-Academia-0016,U2,Sticker-Academia-0016_U2_Grid.png,1024,1024,1472.65,ok
Sticker-Academia-0016,U3,Sticker-Academia-0016_U3_Grid.png,1024,1024,1520.07,ok
Sticker-Academia-0016,U4,Sticker-Academia-0016_U4_Grid.png,1024,1024,2158.45,ok
Sticker-Zen-0001,Cover,Cover_Mockup.png,1800,1800,2296.87,ok
Sticker-Zen-0001,Production,Production_Design.png,1664,1664,2544.8,ok
Sticker-Zen-0001,U1,Sticker-Zen-0001_U1_Grid.png,1024,1024,2664.98,ok
Sticker-Zen-0001,U2,Sticker-Zen-0001_U2_Grid.png,1024,1024,3457.73,ok
