ID,Product_Type,Status,Printify_Product_ID,eBay_Item_ID,Selected_Count,Expected_Count,Default_Count,Default_Indexes,Result,Error
Sticker-Zen-0049,Sticker,Printify_Published_Mockups5,69f23a2fa7777da1970fe60d,406902713267,5,5,2,0|1,CHECK,
Sticker-Zen-0050,Sticker,Printify_Published_Mockups5,69f23a99c326d7da170bfe8d,406902886081,5,5,2,0|1,CHECK,
Sticker-Zen-0051,Sticker,Printify_Published_Mockups5,69f23b5ce64c9f31b70f415b,406902889638,5,5,2,0|1,CHECK,
Sticker-Zen-0052,Sticker,Printify_Published_Mockups5,69f23c10caeb1241880b6afe,406902896387,5,5,2,0|1,CHECK,
Sticker-Zen-0053,Sticker,Printify_Published_Mockups5,69f252f4357398ded80f61c9,406902900109,5,5,2,0|1,CHECK,
Sticker-Zen-0054,Sticker,Printify_Published_Mockups5,69f253bc357398ded80f6242,406903032635,5,5,2,0|1,CHECK,
Sticker-Zen-0055,Sticker,Printify_Published_Mockups5,69f2547229c1d0349a00e796,406903037933,5,5,2,0|1,CHECK,
Sticker-Zen-0056,Sticker,Printify_Published_Mockups5,69f25526ad218fe47f0cc0d3,406903041315,5,5,2,0|1,CHECK,
Sticker-Zen-0057,Sticker,Printify_Published_Mockups5,69f255dae64c9f31b70f4ea6,406903044643,5,5,2,0|1,CHECK,
Sticker-Zen-0058,Sticker,Printify_Published_Mockups5,69f259bc5f78c14a7b0a4760,406903049411,5,5,2,0|1,CHECK,
Sticker-Zen-0060,Sticker,Printify_Published_Mockups5,69f25a86a7777da1970ff5f3,406903249053,5,5,2,0|1,CHECK,
Sticker-Zen-0061,Sticker,Printify_Published_Mockups5,69f25b3ce64c9f31b70f50ed,406903249987,5,5,2,0|1,CHECK,
Sticker-Zen-0062,Sticker,Printify_Published_Mockups5,69f25bee9b469f716d0e7056,406903250891,5,5,2,0|1,CHECK,
Sticker-Zen-0063,Sticker,Printify_Published_Mockups5,69f25ca39577aaffd5066a80,406903252007,5,5,2,0|1,CHECK,
Sticker-Zen-0066,Sticker,Printify_Published_Mockups5,69f25d56c326d7da170c0f79,406903252739,5,5,2,0|1,CHECK,
Sticker-Zen-0067,Sticker,Printify_Published_Mockups5,69f25f0db0d6b88b28061022,,5,5,2,0|1,CHECK,
Sticker-Zen-0068,Sticker,Printify_Published_Mockups5,69f25faf29c1d0349a00ecec,,5,5,2,0|1,CHECK,
Sticker-Zen-0069,Sticker,Printify_Published_Mockups5,69f26062cd8d04605103d10b,406903753067,5,5,2,0|1,CHECK,
Sticker-Zen-0070,Sticker,Printify_Published_Mockups5,69f261185f78c14a7b0a4b29,406903757240,5,5,2,0|1,CHECK,
Sticker-Zen-0071,Sticker,Printify_Published_Mockups5,69f261cd5269e3325904b816,406903762328,5,5,2,0|1,CHECK,
Sticker-Zen-0072,Sticker,Printify_UI_Mockups5,69f26281feceb0d66c042ce7,,5,5,2,0|1,CHECK,
Sticker-Zen-0073,Sticker,Printify_UI_Mockups5,69f262db5269e3325904b893,,5,5,2,0|1,CHECK,
Sticker-Zen-0074,Sticker,Printify_UI_Mockups5,69f263729b469f716d0e7409,,5,5,2,0|1,CHECK,
Sticker-Zen-0075,Sticker,Printify_UI_Mockups5,69f26426671cc7c7960b3f3d,,5,5,2,0|1,CHECK,
Sticker-Zen-0076,Sticker,Printify_UI_Mockups5,69f264df357398ded80f6a3a,,5,5,2,0|1,CHECK,
Sticker-Zen-0081,Sticker,Printify_UI_Mockups5,69f26782c326d7da170c1498,,5,5,2,0|1,CHECK,
Sticker-Zen-0083,Sticker,Printify_UI_Mockups5,69f2683ecaeb1241880b7fcb,,5,5,2,0|1,CHECK,
Sticker-Zen-0084,Sticker,Printify_UI_Mockups5,69f268f1e3d76b3758086023,,5,5,2,0|1,CHECK,
Sticker-Zen-0086,Sticker,Printify_UI_Mockups5,69f2696f29c1d0349a00f104,,5,5,2,0|1,CHECK,
Sticker-Zen-0087,Sticker,Printify_UI_Mockups5,69f26a02357398ded80f6c4f,,5,5,2,0|1,CHECK,
Sticker-Zen-0088,Sticker,Printify_UI_Mockups5,69f27616ce81beb59a02b9e6,,5,5,2,0|1,CHECK,
Sticker-Zen-0089,Sticker,Printify_UI_Mockups5,69f27777ce81beb59a02bab7,,5,5,2,0|1,CHECK,
Sticker-Zen-0091,Sticker,Printify_UI_Mockups5,69f2786bcd8d04605103dccb,,5,5,2,0|1,CHECK,
Sticker-Zen-0092,Sticker,Printify_UI_Mockups5,69f279205f78c14a7b0a572e,,5,5,2,0|1,CHECK,
Sticker-Zen-0093,Sticker,Printify_UI_Mockups5,69f279d8671cc7c7960b4a3d,,5,5,2,0|1,CHECK,
Sticker-Zen-0094,Sticker,Printify_UI_Mockups5,69f27ac5ce81beb59a02bc4b,,5,5,2,0|1,CHECK,
Poster-Academia-0001,Poster,Printify_Published_Mockups5,69f28800cd8d04605103e53a,406902584620,5,4,2,0|1,CHECK,
Poster-Academia-0002,Poster,Printify_Published_Mockups5,69f2906f7f1017d51b0d5f76,406902600741,5,4,2,0|1,CHECK,
Poster-Academia-0003,Poster,Printify_Published_Mockups5,69f29152357398ded80f8178,406902616799,5,4,2,0|1,CHECK,
Acrylic-Academia-0001,Acrylic,Printify_Published_Mockups5,69f298dc9577aaffd50689b0,406902588642,5,4,2,0|1,CHECK,
Acrylic-Grimdark-0081,Acrylic,Printify_Published_Mockups5,69f299c1a3119247600cbe18,406902606976,5,4,2,0|1,CHECK,
Acrylic-Zen-0001,Acrylic,Printify_Published_Mockups5,69f29a72c411a56f6902930d,406902620519,5,4,2,0|1,CHECK,
Poster-Academia-0081,Poster,Printify_Published_Mockups5,69f29fe09577aaffd5068e03,406902627420,5,4,2,0|1,CHECK,
Poster-Academia-0082,Poster,Printify_Published_Mockups5,69f2a0cacaeb1241880b9e8d,406902648209,5,4,2,0|1,CHECK,
Poster-Academia-0083,Poster,Printify_Published_Mockups5,69f2a1b8a7777da197101a96,406902669660,5,4,2,0|1,CHECK,
Poster-Academia-0084,Poster,Printify_Published_Mockups5,69f2a2aacaeb1241880b9f6b,406902691983,5,4,2,0|1,CHECK,
Acrylic-Grimdark-0082,Acrylic,Printify_Published_Mockups5,69f2a7d0e64c9f31b70f79cf,406902633400,5,4,2,0|1,CHECK,
