Timestamp,ID,Action,Status,Etsy_Listing_ID,URL,Confirmed_Fee_USD,Note
2026-05-06T21:23:06-04:00,Poster-Academia-0001,PUBLISH,ERROR,,https://www.etsy.com/your/shops/me/listing-editor/create#pricing-logistics,0.00,RuntimeError: Publish not confirmed. url=https://www.etsy.com/your/shops/me/listing-editor/create#pricing-logistics body= Skip to Content Shop manager menu Total finances subnav notification count Total settings subnav notification count Etsy DriveFuel Want your own website? Learn more about Pattern Sell in person Find out how with Square Listings New listing New listing Photo & Video Category Item Details Item Options Pricing & Shipping How It's Made Settings Photo and video Show off different 
2026-05-06T21:28:46-04:00,Poster-Academia-0001,PUBLISH,ERROR,,https://www.etsy.com/your/shops/me/listing-editor/create#pricing-logistics,0.00,"TimeoutError: Locator.click: Timeout 10000ms exceeded. Call log: - waiting for get_by_role(""button"", name=""Publish"") - locator resolved to <button disabled type=""button"" aria-disabled=""true"" data-testid=""publish"" data-clg-id=""WtButton"" class=""wt-btn wt-btn--primary"">Publish</button> - attempting click action 2 × waiting for element to be visible, enabled and stable - element is not enabled - retrying click action - waiting 20ms 2 × waiting for element to be visible, enabled and stable - element "
2026-05-06T21:34:09-04:00,Poster-Academia-0001,PUBLISH,ERROR,,https://www.etsy.com/your/shops/me/tools/listings?newly_created=1,0.00,RuntimeError: Publish not confirmed. url=https://www.etsy.com/your/shops/me/tools/listings?newly_created=1 body= Skip to Content Shop manager menu Total finances subnav notification count Total settings subnav notification count Etsy DriveFuel Want your own website? Learn more about Pattern Sell in person Find out how with Square Listings Get free credits Add a listing RenewDeactivateDelete Editing options Digital Impulse Purchase Recovery Kit (Digital Download) 999 in stock $1.99 Auto-renews Ju
2026-05-06T21:35:13-04:00,Poster-Academia-0001,PUBLISH,CONFIRMED,4500654287,https://www.etsy.com/listing/4500654287/celestial-gateway-dark-academia-poster,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:37:01-04:00,Poster-Academia-0002,PUBLISH,ERROR,,https://www.etsy.com/your/shops/me/tools/listings?newly_created=1,0.00,"RuntimeError: Publish not confirmed. url=https://www.etsy.com/your/shops/me/tools/listings?newly_created=1 body= Skip to Content Shop manager menu Total finances subnav notification count Total settings subnav notification count Etsy DriveFuel Want your own website? Learn more about Pattern Sell in person Find out how with Square Listings Get free credits Add a listing New: Tools to help you craft great listing titles We've added personalized suggestions to improve your titles, available right i"
2026-05-06T21:37:59-04:00,Poster-Academia-0002,PUBLISH,CONFIRMED,4500664506,https://www.etsy.com/listing/4500664506/dark-academia-obsidian-threshold-poster,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:40:05-04:00,Poster-Academia-0003,PUBLISH,ERROR,,https://www.etsy.com/your/shops/me/tools/listings?newly_created=1,0.00,"RuntimeError: Publish not confirmed. url=https://www.etsy.com/your/shops/me/tools/listings?newly_created=1 body= Skip to Content Shop manager menu Total finances subnav notification count Total settings subnav notification count Etsy DriveFuel Want your own website? Learn more about Pattern Sell in person Find out how with Square Listings Get free credits Add a listing New: Tools to help you craft great listing titles We've added personalized suggestions to improve your titles, available right i"
2026-05-06T21:40:54-04:00,Poster-Academia-0003,PUBLISH,CONFIRMED,4500665474,https://www.etsy.com/listing/4500665474/dark-academia-serpentine-portal-of,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:43:19-04:00,Poster-Academia-0081,PUBLISH,CONFIRMED,4500657145,https://www.etsy.com/your/shops/me/listing-editor/edit/4500657145,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:44:56-04:00,Poster-Academia-0082,PUBLISH,CONFIRMED,4500667154,https://www.etsy.com/your/shops/me/listing-editor/edit/4500667154,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:46:30-04:00,Poster-Academia-0083,PUBLISH,CONFIRMED,4500667734,https://www.etsy.com/your/shops/me/listing-editor/edit/4500667734,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:48:05-04:00,Poster-Academia-0084,PUBLISH,CONFIRMED,4500668282,https://www.etsy.com/your/shops/me/listing-editor/edit/4500668282,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:49:42-04:00,Poster-Academia-0085,PUBLISH,CONFIRMED,4500668786,https://www.etsy.com/your/shops/me/listing-editor/edit/4500668786,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:51:17-04:00,Poster-Academia-0091,PUBLISH,CONFIRMED,4500660013,https://www.etsy.com/your/shops/me/listing-editor/edit/4500660013,0.20,Published through logged-in Etsy UI with manual renewal selected.
2026-05-06T21:52:52-04:00,Poster-Zen-0001,PUBLISH,CONFIRMED,4500669878,https://www.etsy.com/your/shops/me/listing-editor/edit/4500669878,0.20,Published through logged-in Etsy UI with manual renewal selected.
