Product_Family,Priority,Blueprint_ID,Blueprint_Title,Provider_ID,Provider_Title,Variant_ID,Variant_Title,Variant_Options,Cost_Cents,Suggested_Retail_Cents,Print_Area,US_Shipping_First_Cents,US_Shipping_Additional_Cents,Shipping_Profile,Decision,Probe_Status,Probe_Timestamp
Mug,5,478,"Ceramic Mug, (11oz, 15oz)",28,District Photo,65216,11oz,"{""size"": ""11oz""}",,,front:2475x1155,639,299,": first={'cost': 639, 'currency': 'USD'} add={'cost': 299, 'currency': 'USD'} | : first={'cost': 829, 'currency': 'USD'} add={'cost': 299, 'currency': 'USD'} | : first={'cost': 1599, 'currency': 'USD'} add={'cost': 839, 'currency': 'USD'}",Priority Test after wrap QA,OK,2026-05-05 12:56:16 -0400
Mug,5,478,"Ceramic Mug, (11oz, 15oz)",28,District Photo,104692,15oz,"{""size"": ""15oz""}",,,front:2475x1275,829,299,": first={'cost': 639, 'currency': 'USD'} add={'cost': 299, 'currency': 'USD'} | : first={'cost': 829, 'currency': 'USD'} add={'cost': 299, 'currency': 'USD'} | : first={'cost': 1599, 'currency': 'USD'} add={'cost': 839, 'currency': 'USD'}",Priority Test after wrap QA,OK,2026-05-05 12:56:16 -0400
Mug,5,479,"Black Mug (11oz, 15oz)",94,Harrier,65217,11oz,"{""size"": ""11oz""}",,,front:2327x1086,3999,359,": first={'cost': 3999, 'currency': 'USD'} add={'cost': 359, 'currency': 'USD'} | : first={'cost': 659, 'currency': 'USD'} add={'cost': 239, 'currency': 'USD'} | : first={'cost': 379, 'currency': 'USD'} add={'cost': 129, 'currency': 'USD'}",Priority Test after wrap QA,OK,2026-05-05 12:56:27 -0400
Mug,5,479,"Black Mug (11oz, 15oz)",94,Harrier,104470,15oz,"{""size"": ""15oz""}",,,front:2448x1266,3999,359,": first={'cost': 3999, 'currency': 'USD'} add={'cost': 359, 'currency': 'USD'} | : first={'cost': 659, 'currency': 'USD'} add={'cost': 239, 'currency': 'USD'} | : first={'cost': 379, 'currency': 'USD'} add={'cost': 129, 'currency': 'USD'}",Priority Test after wrap QA,OK,2026-05-05 12:56:27 -0400
Mug,5,618,Ceramic Mugs (11oz\15oz\20oz),41,Duplium,72109,11oz / White,"{""size"": ""11oz"", ""color"": ""White""}",,,front:2550x1098,2230,290,": first={'cost': 1429, 'currency': 'USD'} add={'cost': 599, 'currency': 'USD'} | : first={'cost': 2299, 'currency': 'USD'} add={'cost': 739, 'currency': 'USD'} | : first={'cost': 1199, 'currency': 'USD'} add={'cost': 499, 'currency': 'USD'}",Priority Test after wrap QA,OK,2026-05-05 12:56:38 -0400
Mug,5,618,Ceramic Mugs (11oz\15oz\20oz),41,Duplium,75533,15oz / White,"{""size"": ""15oz"", ""color"": ""White""}",,,front:2775x1200,2230,290,": first={'cost': 1429, 'currency': 'USD'} add={'cost': 599, 'currency': 'USD'} | : first={'cost': 2299, 'currency': 'USD'} add={'cost': 739, 'currency': 'USD'} | : first={'cost': 1199, 'currency': 'USD'} add={'cost': 499, 'currency': 'USD'}",Priority Test after wrap QA,OK,2026-05-05 12:56:38 -0400
Mug,5,618,Ceramic Mugs (11oz\15oz\20oz),41,Duplium,77203,20oz / White,"{""size"": ""20oz"", ""color"": ""White""}",,,front:3000x1275,2299,739,": first={'cost': 1429, 'currency': 'USD'} add={'cost': 599, 'currency': 'USD'} | : first={'cost': 2299, 'currency': 'USD'} add={'cost': 739, 'currency': 'USD'} | : first={'cost': 1199, 'currency': 'USD'} add={'cost': 499, 'currency': 'USD'}",Priority Test after wrap QA,OK,2026-05-05 12:56:38 -0400
