Product,Blueprint_ID,Provider_ID,Variant_ID,Variant_Title,Variant_Cost_Field,US_Shipping_First_Min_Cents,US_Shipping_First_Min_USD
Sticker 6x6,400,99,45754,"6"" × 6"" / White",,429,4.29
Poster 12x18 Matte,282,99,43138,12″ x 18″ / Matte,,599,5.99
Acrylic 5x7,1471,104,106190,5'' × 7'' (Vertical),,1599,15.99
