ID,Folder_Status,Reasons,Asset,Width,Height,Sharpness,Bytes
Sticker-Academia-0010,ok,,U1,1024,1024,5156.73,1311826
Sticker-Academia-0010,ok,,U2,1024,1024,5702.01,1390684
Sticker-Academia-0010,ok,,U3,1024,1024,5350.46,1151061
Sticker-Academia-0010,ok,,U4,1024,1024,4372.42,1679192
Sticker-Academia-0011,ok,,Cover,1800,1800,3397.83,3101669
Sticker-Academia-0011,ok,,Production,1664,1664,3831.02,2592988
Sticker-Academia-0011,ok,,U1,1024,1024,4030.34,973031
Sticker-Academia-0011,ok,,U2,1024,1024,2822.04,744443
Sticker-Academia-0011,ok,,U3,1024,1024,4157.67,1582341
Sticker-Academia-0011,ok,,U4,1024,1024,2569.02,752380
Sticker-Academia-0013,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,548.16,1110140
Sticker-Academia-0013,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,706.4,1287959
Sticker-Academia-0013,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,506.48,47498
Sticker-Academia-0013,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,508.11,47776
Sticker-Academia-0013,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,505.95,44415
Sticker-Academia-0013,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,509.37,47402
Sticker-Academia-0014,ok,,Cover,1800,1800,2853.93,2519695
Sticker-Academia-0014,ok,,Production,1664,1664,3001.74,2713724
Sticker-Academia-0014,ok,,U1,1024,1024,2618.37,652056
Sticker-Academia-0014,ok,,U2,1024,1024,2838.21,1233099
Sticker-Academia-0014,ok,,U3,1024,1024,2637.81,624659
Sticker-Academia-0014,ok,,U4,1024,1024,3291.25,828710
Sticker-Academia-0015,ok,,Cover,1800,1800,3087.4,2132542
Sticker-Academia-0015,ok,,Production,1664,1664,3396.98,1787331
Sticker-Academia-0015,ok,,U1,1024,1024,3138.82,700512
Sticker-Academia-0015,ok,,U2,1024,1024,3372.47,841651
Sticker-Academia-0015,ok,,U3,1024,1024,2579.82,562503
Sticker-Academia-0015,ok,,U4,1024,1024,3600.33,707572
Sticker-Academia-0016,ok,,Cover,1800,1800,2528.91,2987005
Sticker-Academia-0016,ok,,Production,1664,1664,2765.1,2284936
Sticker-Academia-0016,ok,,U1,1024,1024,2383.19,1205642
Sticker-Academia-0016,ok,,U2,1024,1024,2184.4,784936
Sticker-Academia-0016,ok,,U3,1024,1024,2153.52,678638
Sticker-Academia-0016,ok,,U4,1024,1024,2839.95,1309479
Sticker-Zen-0001,ok,,Cover,1800,1800,2489.56,2732167
Sticker-Zen-0001,ok,,Production,1664,1664,2461.24,2861469
Sticker-Zen-0001,ok,,U1,1024,1024,2977.57,861552
Sticker-Zen-0001,ok,,U2,1024,1024,3261.71,911470
Sticker-Zen-0001,ok,,U3,1024,1024,3419.5,978680
Sticker-Zen-0001,ok,,U4,1024,1024,3346.6,706105
Sticker-Zen-0002,ok,,Cover,1800,1800,3421.43,3551737
Sticker-Zen-0002,ok,,Production,1664,1664,3206.54,3000338
Sticker-Zen-0002,ok,,U1,1024,1024,3023.54,1102024
Sticker-Zen-0002,ok,,U2,1024,1024,3507.81,1284533
Sticker-Zen-0002,ok,,U3,1024,1024,2709.66,1232158
Sticker-Zen-0002,ok,,U4,1024,1024,3301.37,1025919
Sticker-Zen-0003,ok,,Cover,1800,1800,2379.83,4566105
Sticker-Zen-0003,ok,,Production,1664,1664,2931.36,3904776
