Product_Family,Priority,Blueprint_ID,Blueprint_Title,Provider_ID,Provider_Title,Variant_ID,Variant_Title,Variant_Options,Cost_Cents,Suggested_Retail_Cents,Print_Area,US_Shipping_First_Cents,US_Shipping_Additional_Cents,Shipping_Profile,Decision,Probe_Status,Probe_Timestamp
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82220,16″ x 12″ (Horizontal) / 0.75'',"{""size"": ""16″ x 12″ (Horizontal)"", ""depth"": ""0.75''""}",,,front:4800x3600,779,359,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82221,"20"" x 16"" (Horizontal) / 0.75''","{""size"": ""20\"" x 16\"" (Horizontal)"", ""depth"": ""0.75''""}",,,front:6000x4800,949,439,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82222,24″ x 18″ (Horizontal) / 0.75'',"{""size"": ""24″ x 18″ (Horizontal)"", ""depth"": ""0.75''""}",,,front:7200x5400,1239,579,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82223,30″ x 20″ (Horizontal) / 0.75'',"{""size"": ""30″ x 20″ (Horizontal)"", ""depth"": ""0.75''""}",,,front:9000x6000,1239,579,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82224,"32"" x 24"" (Horizontal) / 0.75''","{""size"": ""32\"" x 24\"" (Horizontal)"", ""depth"": ""0.75''""}",,,front:9600x7200,1369,639,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
Canvas,1,937,"Matte Canvas, Stretched, 0.75"" (Multi-Size)",105,Jondo,82225,"36"" x 24"" (Horizontal) / 0.75''","{""size"": ""36\"" x 24\"" (Horizontal)"", ""depth"": ""0.75''""}",,,front:10800x7200,1369,639,": first={'cost': 4209, 'currency': 'USD'} add={'cost': 2009, 'currency': 'USD'} | : first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 709, 'currency': 'USD'} add={'cost': 329, 'currency': 'USD'}",Priority Test,OK,2026-05-05 12:37:26 -0400
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91624,"12"" x 9"" (Horizontal) / 1.25""","{""size"": ""12\"" x 9\"" (Horizontal)"", ""depth"": ""1.25\""""}",,,front:3600x2700,779,359,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91625,"14″ x 11″ (Horizontal) / 1.25""","{""size"": ""14″ x 11″ (Horizontal)"", ""depth"": ""1.25\""""}",,,front:4200x3300,949,439,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91626,"16″ x 12″ (Horizontal) / 1.25""","{""size"": ""16″ x 12″ (Horizontal)"", ""depth"": ""1.25\""""}",,,front:4800x3600,949,439,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91627,"18″ x 12″ (Horizontal) / 1.25""","{""size"": ""18″ x 12″ (Horizontal)"", ""depth"": ""1.25\""""}",,,front:5400x3600,949,439,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
