ID,Product_Type,Status,Printify_Product_ID,exact_sha_match,visual_match,local_size,remote_size,remote_declared_size,ahash_distance,local_sha256,remote_sha256,remote_image_id,error
Poster-Academia-0002,Poster,Printify_PrimaryFix_Needed,69f2906f7f1017d51b0d5f76,False,True,"(3600, 5400)","(3600, 5400)","(3600, 5400)",0,4a24037aa81e51fcb70fcba5d0c1dc9e5c9150a9efce9d88a410797a7a1fddf4,e7336d522bab34a93a65e109ce97f4d24c58e5a3c8f6fd940247de076047c445,69f2905dcd465b5f319f3add,
Poster-Academia-0081,Poster,Printify_PrimaryFix_Needed,69f29fe09577aaffd5068e03,False,True,"(3600, 5400)","(3600, 5400)","(3600, 5400)",0,e686c570c699e7d0081aa714d4198dab426a69eef6f505963f22727c529cdc92,7cbbab9a690a36ddc19a06e6834b139f3640b86437d1fb89fb011603e402f062,69f29fcd0de8257d2b9de3e0,
Poster-Academia-0082,Poster,Printify_PrimaryFix_Needed,69f2a0cacaeb1241880b9e8d,False,True,"(3600, 5400)","(3600, 5400)","(3600, 5400)",0,c8bb1e46e087a13289bfeaf861f3d2c80049f6526673ab190d4cdd1a99403ed2,9ccfdc956ab0b771cdd2cf5e86e68198f510e757dc1487419a6cf969a37c2d34,69f2a0b9e8fda63c36be57d9,
Poster-Academia-0083,Poster,Printify_PrimaryFix_Needed,69f2a1b8a7777da197101a96,False,True,"(3600, 5400)","(3600, 5400)","(3600, 5400)",0,c32c17de08b9d4080352ab32f691090e7a996ef78cab403000a5c265341fbafb,0400e4518d87dd0b354f69fa1e3a09d6eb00457c5e80d60f026608b455d1039b,69f2a1a89408ec78bfb8621a,
